pelr0123,item,no.required,not incl vat,incl VAT,,Ordered?,Received?,,,,
*,Deutsch DTHD Series 1 Way Plug and Receptacle Connector Kit – DTHD04-1-12P & DTHD06-1-12S,1,,£11.99,,,,,PA PRODUCTS LTD,https://www.ebay.co.uk/itm/186704674168,
,"Delphi 2 Way Metri-Pack 630 Sealed Series Automotive Connector Kit – 15363993 & 15363990, 46 Amp",1,£5.62,,,,Y,,3waycomponents,https://www.3waycomponents.co.uk/product/delphi-2-way-metri-pack-sealed-630-series-46-amp-automotive-connector-kit/,
,,,,,,,,,,,
,"Receptacle 60A , DTHD04-1-8P",,,,,,,,,,
,"Plug 60A, DTHD06-1-8S ",,,,,,,,,,
,"Contactor, Pin, 60 A, 0460-204-08141, wire size 10.0-5.0 mm2",,£3.32,,,,,,CPC,,
,"Contactor, Pin, 60 A, 0460-204-08141, wire size 10.0-5.0 mm2",,,,,,,,Farnell,,
,"Contactor Socket, 60A 0462-203-08141, wire size 10.0-5.0 mm2",,,,,,,,CPC,,
,"Contactor Socket, 60A 0462-203-08141, wire size 10.0-5.0 mm2",,,,,,,,Farnell,,
,Self Adjusting Bootlace Ferrule Crimper - T3695,1,£81.61,,,,,,CPC,https://cpc.farnell.com/ck-tools/t3695/self-adjusting-bootlace-crimper/dp/TL23729,
,0.08-16mm² Ferrule Terminal Hand Wire Cord End Crimper Crimp Crimping Tool Plier,,,£22.00,,,,,Ebay,,
,"1 Pin/Way 60A Deutsch DTHD Series Male Female Connector Plug Socket Kit New, wire size 10.0-5.0 mm2",,,£11.76,,,,,Ebay,https://www.ebay.co.uk/itm/256277910208,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
*,"STMicroelectronics L78S05CV, 1 Linear Voltage, Voltage Regulator 2A, 5 V 3-Pin, TO-220RS Stock No.:714-7780Mfr. Part No.:L78S05CV",3,£0.769,,,,,,Rsonline,https://uk.rs-online.com/web/p/voltage-regulators/7147780,
*,"STMICROELECTRONICS L7805ABV Fixed Linear Voltage Regulator, 7805, 3-Terminal, Positive, 10V To 35V In, 5V And 1.5A Out, TO-220-3",3,,£0.66,,,,,Farnell,https://uk.farnell.com/stmicroelectronics/l7805abv/ic-v-reg-5v/dp/1467758,
*,"Texas Instruments LM1086CT-3.3/NOPB, 1 Low Dropout Voltage, Voltage Regulator 1.5A, 3.3 V 3-Pin, TO-220 533-9448  LM1086CT-3.3/NOPB , non standard pin layout.",0,£1.75,,,,,,Rsonline,https://uk.rs-online.com/web/p/products/5339448/,
*,"STMicroelectronics LF33CV, 1 Low Dropout Voltage, Voltage Regulator 500mA, 3.3 V 3-Pin, TO-220",0,,£1.57,,,,,Rsonline,https://uk.rs-online.com/web/p/voltage-regulators/3554128,
,,,,,,,,,,,
,"USB 2.0 A to A Feedthrough Panel Mount Connector, CSK hole, Black Plastic XLR Frame -  CP30208N",0,4.63,,,,,,CPC,https://cpc.farnell.com/cliff-electronic-components/cp30208n/feedthru-usb2-a-to-a-black-plastic/dp/CN20403,
,"Slim USB 2.0 Type A Socket to USB 2.0 Type A Socket Feedthrough Connector Adaptor, Nickel Frame, CSK Holes CLIFF ELECTRONIC - CN23060 ",3,6.21,,,,Y,,CPC,https://cpc.farnell.com/cliff-electronic-components/cp30608nm/feedthru-usb2-0-a-a-slim-metal/dp/CN23060,
,,,,,,,,,,,
,"Nylon Cable Gland, M16, 4-8mm Cable Range, Black, IP68 -  PELB0264",20,£0.23,,,,Y,,CPC,https://cpc.farnell.com/pro-elec/pelb0264/cable-gland-m16-black/dp/CB21949,
,"Nylon Cable Gland, M20, 6-12mm Cable Range, Black, IP68 -  PELB0268",20,£0.28,,,,Y,,CPC,https://cpc.farnell.com/pro-elec/pelb0268/cable-gland-m20-black/dp/CB21953,
,,,,,,,,,,,
,"Circular Threaded Connector Plug, 2-Pole, 5-8mm, 5 Amps, IP68  PRO ELEC - PELR0114 ",2,£2.76,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp1310-p2iic/circular-plug-2-pole-5-8mm-ip68/dp/CN21307,
,"Circular Threaded Connector Socket, 2-Pole, 5-8mm, 5 Amps, IP68  PRO ELEC - PELR0121 ",2,£2.76,,,,Y,,CPC,https://cpc.farnell.com/pro-elec/pelr0121/circular-socket-2-pole-5-8mm-ip68/dp/CN21314,
,"Circular Threaded Connector Inline Plug, 2-Pole, 5-8mm, 5 Amps, IP68  PRO ELEC - PELR0128 ",2,£3.10,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp1311-p2iic/circular-in-line-plug-2-p-5-8mm/dp/CN21321,
