elapsed_app_time,loop_duration,ch12_data,encImplWheelVal,encHorizActVal,encDrawbarActVal,auto_weed_enabled,cpu_temp,gpu_temp,ao_temp
30.009603261947632,0.061003923416137695,0,233202,-16,-128,False,51.125,52.406,50.375
30.092207193374634,0.08260393142700195,0,233202,-16,-128,False,51.125,52.406,50.375
30.155646800994873,0.06343960762023926,0,233202,-16,-128,False,51.125,52.406,50.375
30.217047452926636,0.061400651931762695,0,233202,-16,-128,False,51.125,52.406,50.375
30.302469491958618,0.08542203903198242,0,233202,-16,-128,False,51.125,52.406,50.375
30.370439291000366,0.06796979904174805,0,233201,-16,-128,False,51.125,52.406,50.375
30.431770086288452,0.06133079528808594,0,233201,-16,-128,False,51.125,52.406,50.375
30.489760160446167,0.057990074157714844,0,233201,-16,-128,False,51.125,52.406,50.375
30.568612098693848,0.07885193824768066,0,233201,-16,-128,False,51.125,52.406,50.375
30.62956976890564,0.06095767021179199,0,233201,-16,-128,False,51.125,52.406,50.375
30.69423532485962,0.06466555595397949,0,233201,-16,-128,False,51.125,52.406,50.375
30.77551531791687,0.08127999305725098,0,233201,-16,-128,False,51.125,52.406,50.375
30.8363196849823,0.06080436706542969,0,233201,-16,-128,False,51.125,52.406,50.375
30.8984112739563,0.06209158897399902,0,233201,-16,-128,False,51.125,52.406,50.375
30.97187566757202,0.07346439361572266,0,233201,-16,-128,False,51.125,52.406,50.375
31.06104612350464,0.08917045593261719,0,233201,-16,-128,False,51.125,52.406,50.375
31.126917362213135,0.0658712387084961,0,233201,-16,-128,False,51.125,52.406,50.375
31.185729265213013,0.05881190299987793,0,233201,-16,-128,False,51.125,52.406,50.375
31.253071069717407,0.06734180450439453,0,233201,-16,-128,False,51.093,52.437,50.312
31.321415662765503,0.0683445930480957,0,233201,-16,-128,False,51.093,52.437,50.312
31.379210233688354,0.05779457092285156,0,233201,-16,-128,False,51.093,52.437,50.312
31.4446759223938,0.06546568870544434,0,233201,-16,-128,False,51.093,52.437,50.312
31.528735637664795,0.0840597152709961,0,233201,-16,-128,False,51.093,52.437,50.312
31.589515924453735,0.06078028678894043,0,233201,-16,-128,False,51.093,52.437,50.312
31.653548002243042,0.06403207778930664,0,233201,-16,-128,False,51.093,52.437,50.312
31.730515956878662,0.07696795463562012,0,233201,-16,-128,False,51.093,52.437,50.312
31.79154372215271,0.06102776527404785,0,233201,-16,-128,False,51.093,52.437,50.312
31.859525442123413,0.06798171997070312,0,233201,-16,-128,False,51.093,52.437,50.312
31.92314910888672,0.06362366676330566,0,233201,-16,-128,False,51.093,52.437,50.312
32.01586294174194,0.09271383285522461,0,233201,-16,-128,False,51.093,52.437,50.312
32.07944703102112,0.0635840892791748,0,233201,-16,-128,False,51.093,52.437,50.312
32.13895225524902,0.05950522422790527,0,233201,-16,-128,False,51.093,52.437,50.312
32.206624031066895,0.0676717758178711,0,233201,-16,-128,False,51.093,52.437,50.312
32.26835608482361,0.06173205375671387,0,233201,-16,-128,False,51.093,52.437,50.312
32.33467698097229,0.06632089614868164,0,233201,-16,-128,False,51.093,52.437,50.312
32.40223288536072,0.06755590438842773,0,233201,-16,-128,False,51.093,52.437,50.312
32.484534740448,0.08230185508728027,0,233201,-16,-128,False,51.093,52.437,50.312
32.55020713806152,0.06567239761352539,0,233201,-16,-128,False,51.093,52.437,50.312
32.60842752456665,0.05822038650512695,0,233201,-16,-128,False,51.093,52.437,50.312
32.68930268287659,0.08087515830993652,0,233201,-16,-128,False,51.093,52.437,50.312
32.753440141677856,0.06413745880126953,0,233201,-16,-128,False,51.093,52.437,50.312
32.81502842903137,0.061588287353515625,0,233201,-16,-128,False,51.093,52.437,50.312
32.879382371902466,0.06435394287109375,0,233201,-16,-128,False,51.093,52.437,50.312
32.959238052368164,0.07985568046569824,0,233201,-16,-128,False,51.093,52.437,50.312
33.02069568634033,0.06145763397216797,0,233201,-16,-128,False,51.093,52.437,50.312
33.08564114570618,0.06494545936584473,0,233201,-16,-128,False,51.093,52.437,50.312
33.16604828834534,0.08040714263916016,0,233201,-16,-128,False,51.093,52.437,50.312
33.233439922332764,0.06739163398742676,0,233201,-16,-128,False,51.093,52.437,50.312
33.29209351539612,0.05865359306335449,0,233202,-16,-128,False,51.125,52.531,50.375
33.360347270965576,0.06825375556945801,0,233204,-16,-128,False,51.125,52.531,50.375
33.44015955924988,0.07981228828430176,0,233206,-16,-128,False,51.125,52.531,50.375
33.50082349777222,0.06066393852233887,0,233206,-16,-128,False,51.125,52.531,50.375
33.564932346343994,0.06410884857177734,0,233208,-16,-128,False,51.125,52.531,50.375
33.642242431640625,0.07731008529663086,0,233213,-16,-128,False,51.125,52.531,50.375
33.706806659698486,0.06456422805786133,0,233213,-16,-128,False,51.125,52.531,50.375
33.76774001121521,0.06093335151672363,0,233219,-16,-128,False,51.125,52.531,50.375
33.84770107269287,0.07996106147766113,0,233222,-16,-128,False,51.125,52.531,50.375
33.91737461090088,0.06967353820800781,0,233222,-16,-128,False,51.125,52.531,50.375
33.97853207588196,0.0611574649810791,0,233226,-16,-128,False,51.125,52.531,50.375
34.043782234191895,0.06525015830993652,0,233231,-16,-128,False,51.125,52.531,50.375
34.11300301551819,0.06922078132629395,0,233231,-16,-128,False,51.125,52.531,50.375
34.17707395553589,0.0640709400177002,0,233236,-16,-128,False,51.125,52.531,50.375
34.246362924575806,0.06928896903991699,0,233240,-16,-128,False,51.125,52.531,50.375
34.341609477996826,0.09524655342102051,0,233245,-16,-128,False,51.125,52.531,50.375
34.406548738479614,0.06493926048278809,0,233245,-16,-128,False,51.125,52.531,50.375
34.46539115905762,0.05884242057800293,0,233250,-16,-129,False,51.125,52.531,50.375
34.522534132003784,0.05714297294616699,0,233255,-16,-129,False,51.125,52.531,50.375
34.59129786491394,0.06876373291015625,0,233255,-16,-129,False,51.125,52.531,50.375
34.65652775764465,0.06522989273071289,0,233259,-16,-129,False,51.125,52.531,50.375
