elapsed_time_sec, loop_duration_sec, TIME_B, TIME_C, TIME_D, TIME_E, TIME_F, TIME_G, TIME_H, TIME_I, TIME_J, TIME_K, TIME_L, TIME_M, TIME_N, TIME_O, TIME_P, TIME_Q, CPU_1, CPU_2, CPU_3, CPU_4, CPU_5, CPU_6, GPU, MEM
30.009603261947632,0.061003923416137695,1.6689300537109375e-06,0.030909061431884766,0.03234696388244629,0.0005533695220947266,0.015534639358520508,0.0010197162628173828,0.0015568733215332031,2.9802322387695312e-05,5.3882598876953125e-05,7.152557373046875e-07,1.1205673217773438e-05,3.814697265625e-06,4.76837158203125e-07,1.2636184692382812e-05,2.384185791015625e-06,0.0004913806915283203,0.205,0.289,0.198,0.077,0.02,0.746,0.0,0.392
30.092207193374634,0.08260393142700195,1.430511474609375e-06,0.020954370498657227,0.023397207260131836,0.0004508495330810547,0.013885974884033203,0.0017328262329101562,0.0019168853759765625,2.2649765014648438e-05,5.1975250244140625e-05,9.5367431640625e-07,3.24249267578125e-05,3.337860107421875e-06,2.384185791015625e-07,9.298324584960938e-06,1.9073486328125e-06,0.0005500316619873047,0.205,0.289,0.198,0.077,0.02,0.746,0.0,0.392
30.155646800994873,0.06343960762023926,1.430511474609375e-06,0.022041797637939453,0.02284836769104004,0.00043892860412597656,0.012634038925170898,0.0009057521820068359,0.0017309188842773438,2.6226043701171875e-05,5.2928924560546875e-05,7.152557373046875e-07,9.5367431640625e-06,3.5762786865234375e-06,2.384185791015625e-07,9.059906005859375e-06,1.9073486328125e-06,0.0009610652923583984,0.205,0.289,0.198,0.077,0.02,0.746,0.0,0.392
30.217047452926636,0.061400651931762695,1.430511474609375e-06,0.027448177337646484,0.023757457733154297,0.014955282211303711,0.015273094177246094,0.0011780261993408203,0.0017039775848388672,2.9087066650390625e-05,6.246566772460938e-05,9.5367431640625e-07,1.1205673217773438e-05,4.5299530029296875e-06,4.76837158203125e-07,1.430511474609375e-05,3.337860107421875e-06,0.0006799697875976562,0.205,0.289,0.198,0.077,0.02,0.746,0.0,0.392
30.302469491958618,0.08542203903198242,2.1457672119140625e-06,0.022507190704345703,0.026219606399536133,0.0007457733154296875,0.015363931655883789,0.0009772777557373047,0.0015022754669189453,2.1219253540039062e-05,5.1021575927734375e-05,7.152557373046875e-07,9.059906005859375e-06,3.337860107421875e-06,4.76837158203125e-07,9.775161743164062e-06,2.384185791015625e-06,0.0009596347808837891,0.205,0.289,0.198,0.077,0.02,0.746,0.0,0.392
30.370439291000366,0.06796979904174805,1.9073486328125e-06,0.020174264907836914,0.023399829864501953,0.0007510185241699219,0.013910293579101562,0.0009112358093261719,0.001524209976196289,2.6226043701171875e-05,5.4836273193359375e-05,9.5367431640625e-07,9.059906005859375e-06,3.337860107421875e-06,2.384185791015625e-07,1.3113021850585938e-05,2.1457672119140625e-06,0.000537872314453125,0.205,0.289,0.198,0.077,0.02,0.746,0.0,0.392
30.431770086288452,0.06133079528808594,1.9073486328125e-06,0.0190579891204834,0.02305746078491211,0.0004534721374511719,0.012500524520874023,0.0008842945098876953,0.0014002323150634766,2.4557113647460938e-05,5.3882598876953125e-05,4.76837158203125e-07,1.0251998901367188e-05,3.337860107421875e-06,2.384185791015625e-07,1.049041748046875e-05,2.1457672119140625e-06,0.0005307197570800781,0.205,0.289,0.198,0.077,0.02,0.746,0.0,0.392
30.489760160446167,0.057990074157714844,2.1457672119140625e-06,0.02732062339782715,0.032404422760009766,0.0005779266357421875,0.015431880950927734,0.0009567737579345703,0.0015108585357666016,2.7179718017578125e-05,5.984306335449219e-05,7.152557373046875e-07,9.059906005859375e-06,3.5762786865234375e-06,2.384185791015625e-07,1.0013580322265625e-05,2.384185791015625e-06,0.0005133152008056641,0.205,0.289,0.198,0.077,0.02,0.746,0.0,0.392
30.568612098693848,0.07885193824768066,1.6689300537109375e-06,0.020118236541748047,0.0227663516998291,0.0006458759307861328,0.013783693313598633,0.0013153553009033203,0.001447916030883789,2.5033950805664062e-05,5.507469177246094e-05,7.152557373046875e-07,1.0013580322265625e-05,3.337860107421875e-06,2.384185791015625e-07,9.5367431640625e-06,1.9073486328125e-06,0.0005180835723876953,0.205,0.289,0.198,0.077,0.02,0.746,0.0,0.392
30.62956976890564,0.06095767021179199,1.6689300537109375e-06,0.025136470794677734,0.023020267486572266,0.0004546642303466797,0.013032197952270508,0.0009341239929199219,0.0014371871948242188,2.5272369384765625e-05,5.7220458984375e-05,4.76837158203125e-07,1.0967254638671875e-05,4.0531158447265625e-06,2.384185791015625e-07,1.1444091796875e-05,2.1457672119140625e-06,0.0007550716400146484,0.205,0.289,0.198,0.077,0.02,0.746,0.0,0.392
